temp,rain,wind_speed,wind_degree,wind_direction
3.5,0,1.6,314.8,NW
3.2,0,3.6,297.1,WNW
2.3,0,2.3,306.1,NW
1.5,0,1.9,298.5,WNW
1.1,0,1.6,266.9,W
0.8,0,1.2,278.2,W
0.3,0,0.5,282.6,WNW
-0.3,0,0.3,231.2,SW
-1.6,0,1,245.3,WSW
-0.3,0,2.3,272.1,W
-1.3,0,1.9,260,W
-1.1,0,0.8,265.2,W
-1.1,0,1,201.6,SSW
-1.8,0,0.5,278.4,W
0.2,0,1.5,232.1,SW
2.1,0,1.6,219.5,SW
4.5,0,2,259.1,W
5.7,0,2.9,295.4,WNW
6.4,0,3.6,0,N
7.4,0,2.6,3.6,N
7.7,0,2.9,355,N
7.5,0,2.7,342.3,NNW
6.7,0,1.8,342,NNW
5.1,0,0.8,283,WNW
4.6,0,1.2,338.2,NNW
4.3,0,0.9,294.7,WNW
3.4,0,1.3,238.7,WSW
2.5,0,1,272.9,W
2,0,1.5,251,WSW
1.5,0,1.7,263.6,W
0.7,0,1.1,256.5,WSW
0.4,0,1.4,267.7,W
-1.4,0,1.2,3.8,N
0.5,0,1.4,220,SW
0,0,1.6,227.9,SW
-1.3,0,0.5,127,SE
-2.4,0,0.6,320.7,NW
-2.6,0,0.9,352.5,N
-1.4,0,1.3,358.5,N
1.2,0,0.6,50.2,NE
4.1,0,1.1,181.2,S
6.1,0,1.6,74.4,ENE
6.9,0,1.9,157.5,SSE
8.3,0,1.2,272.3,W
8.1,0,1.4,227.9,SW
8.3,0,0.9,142.8,SE
7.2,0,0.6,252.2,WSW
6.2,0,1.2,333.6,NNW
5.4,0,1.8,354.5,N
4.6,0,1.4,4.2,N
3.9,0,0.6,22.2,NNE
3.1,0,1,343.2,NNW
3.2,0,0.6,315.9,NW
3.1,0,2,356.6,N
2.6,0,1,357,N
2.7,0,1.4,6.9,N
2.3,0,0.6,313.2,NW
2.5,0,1.1,204.5,SSW
2,0,1.5,234,SW
2,0,1.3,213,SSW
2.4,0,1.1,14.5,NNE
2.3,0,0.9,31.3,NNE
